,Unnamed: 0.1,Unnamed: 0,ID,L1,L1_2,text,shortened_text,SPOT,level,num_sentences,num_tokens,mean_tokens_per_sentence,type_token_ratio,num_verbs,total_char_count,LIM_count,HIM_count,wago_count,kango_count,tokyollm_8B_Instruct_surp,tokyollm_8B_surp,jpllm_3.7b_Instruct_surp,jpllm_3.7b_surp,llama_8B_Instruct_surp,llama_8B_surp
0,0,0,CCH08,CHN,中国語,"食べるのは誰にとっても非常に重要なことである。家で母の手料理などの家庭料理を食べるのがもちろん、外で外食して、ファストフードを食べたことも誰にもあるのであろう。ファストフードと家庭料理、どっちでも大切だと思われている。
ファストフードの便利さが特徴である。待てる時間もなくすぐに食べれ、時間に厳しいサラリーマンや受験生にはぴったり。そして買い出し準備も必要ないし後片付けもいらない、まさしく面倒人にも向いている。それにファストフードは一般的に安い値段で買えるため経済の厳しい人でも気楽に買える。だが、値段の安い分、栄養価値も少ないため、そして食品の衛生面でも保障は少ない、しかも太りやすいことがある。
それと反面に作りが面倒くさい家庭料理、朝なら早起きして新鮮な食材を買い出しする必要があり、そして丁寧に下準備を必要で、人の技術を伴う調理技術によりやっと作られる。だがそれが終わりではなく、後片付けも必要で、厄介の極みである。しかし手間をかけて作った料理なので、栄養分も取れて、健康にいい。一番重要なのは家族全員で行動ができ、洗いやカットなど仕事を分けて楽しくやれることができる、家族のやり取りにもなれる。
ファストフードと家庭料理、両方でも美味しいと思う人が大勢いるかもしれないが、ファストフードより、手作りの家庭料理が特有の味を持っているのが違いないであろう。家により味が違っているし、愛を込めて代わりのない暖かさもある。やはり、家庭料理は家族の味をしているのではないだろう。","食べるのは誰にとっても非常に重要なことである。家で母の手料理などの家庭料理を食べるのがもちろん、外で外食して、ファストフードを食べたことも誰にもあるのであろう。ファストフードと家庭料理、どっちでも大切だと思われている。
ファストフードの便利さが特徴である。待てる時間もなくすぐに食べれ、時間に厳しいサラリーマンや受験生にはぴったり。そして買い出し準備も必要ないし後片付けもいらない、まさしく面倒人にも向いている。それにファストフードは一般的に安い値段で買えるため経済の厳しい人でも気楽に買える。だが、値段の安い分、栄養価値も少ないため、そして食品の衛生面でも保障は少ない、しかも太りやすいことがある。
それと反面に作りが面倒くさい家庭料理、朝なら早起きして新鮮な食材を買い出しする必要があり、そして丁寧に下準備を必要で、人の技術を伴う調理技術によりやっと作られる。だがそれが終わりではなく、後片付けも必要で、厄介の極みである。しかし手間をかけて作った料理なので、栄養分も取れて、健康にいい。一番重要なのは家族全員で行動ができ、洗いやカットなど仕事を分けて楽しくやれることができる、家族のやり取りにもなれる。
ファストフードと家庭料理、両方でも美味しいと思う人が大勢いるかもしれないが、ファストフードより、手作りの家庭料理が特有の味を持っているのが違いないであろう。家により味が違っているし、愛を込めて",79.0,intermediate,15.0,327.0,21.8,0.418960244648318,23.0,640.0,37.0,34.0,139.0,67.0,3.104,2.468,3.76,3.623,2.885,2.761
1,1,1,CCH09,CHN,中国語,"時代の進歩とともに、私たちの生活は便利で快適になってきた。例えば、さまざまなファーストフード店が次々に現れているため、人々がいつでも、どこでも、お腹が空いたら、すぐに食べられるようになった。すごく便利で、時間がかからない、ということはファーストフードのもっともいい点だと思う。それに、ほどんどのファーストフード店の料理が家庭料理よりおいしい。しかし、多くのファーストフードには添加物が多すぎて、人の体に悪いという欠点もある。もしファーストフードばかり食べていると、栄養のバランスを崩しやすい。
それに対して、家庭料理は種類が豊富で、栄養のバランスもいいし、家族みんなで一緒に食べるこそ、食事の楽しさがわかるのだ。だが、家庭料理を作るのに時間がかかるし、しかもだいたい女性が料理を作っているので、女性の方が大変なのではないでしょうか。また、いつも家で同じ料理を食べていると、きっと飽きるでしょう。
以上述べてきたように、家庭料理を主として、たまには外食してファーストフードを食べる方が一番いいと思う。","時代の進歩とともに、私たちの生活は便利で快適になってきた。例えば、さまざまなファーストフード店が次々に現れているため、人々がいつでも、どこでも、お腹が空いたら、すぐに食べられるようになった。すごく便利で、時間がかからない、ということはファーストフードのもっともいい点だと思う。それに、ほどんどのファーストフード店の料理が家庭料理よりおいしい。しかし、多くのファーストフードには添加物が多すぎて、人の体に悪いという欠点もある。もしファーストフードばかり食べていると、栄養のバランスを崩しやすい。
それに対して、家庭料理は種類が豊富で、栄養のバランスもいいし、家族みんなで一緒に食べるこそ、食事の楽しさがわかるのだ。だが、家庭料理を作るのに時間がかかるし、しかもだいたい女性が料理を作っているので、女性の方が大変なのではないでしょうか。また、いつも家で同じ料理を食べていると、きっと飽きるでしょう。
以上述べてきたように、家庭料理を主として、たまには外食してファーストフードを食べる方が一番いいと思う。",85.0,advanced,10.0,224.0,22.4,0.4955357142857143,17.0,449.0,19.0,13.0,96.0,39.0,2.303,1.779,2.896,2.845,2.178,2.072
2,2,2,CCH12,CHN,中国語,"飲食ときたら、みなんは何を思い浮かびますか？私たちの生活では、よくファストフードとか、家庭料理とか食べます。ファストフードか家庭料理か、どっちが好きですか。私自分の経験を踏まえて、ちょっと話します。
ファストフードは、近代西洋から伝わって来たです。西洋の色々な特色があります。ファストフードフードはとても便利です、立ちながら食べられます。現代社会では、時間が重要ですから、ファストフードを選んで、たくさんの時間を省くことができます。実は、この間、マイクナルドでは、オーダーしてから、一分のうちに全部整えてくれます。なんと早いです。でも、ファストフードはそんなに便利といっても、デメリットがあります。栄養から見ると、家庭料理より、乏しいです。
家庭料理というと、いろんなメリットがあります。栄養から見ると、人の健康にいいと思います。家庭料理は伝統的な形式ですから、食事の他にもたくさんの機能があります。例えば、主婦は自分の愛をこめて、料理を作って、家族一家で食事をして、これが家族の楽しみではないでしょうか？これは家族の団結力を養う方法の一種です。でも家庭料理を作るには、いろんな手間が必要ですから、時間がたくさんかかります。現代社会では、時間を省くのが必要ですから、家庭料理はそんなに流行っていません。
私たちは実際を踏まえて、自分の食事計画を作ったらいいと思います。ファストフードと家庭料理のメリットを使って、自分の便利を計ります。","飲食ときたら、みなんは何を思い浮かびますか？私たちの生活では、よくファストフードとか、家庭料理とか食べます。ファストフードか家庭料理か、どっちが好きですか。私自分の経験を踏まえて、ちょっと話します。
ファストフードは、近代西洋から伝わって来たです。西洋の色々な特色があります。ファストフードフードはとても便利です、立ちながら食べられます。現代社会では、時間が重要ですから、ファストフードを選んで、たくさんの時間を省くことができます。実は、この間、マイクナルドでは、オーダーしてから、一分のうちに全部整えてくれます。なんと早いです。でも、ファストフードはそんなに便利といっても、デメリットがあります。栄養から見ると、家庭料理より、乏しいです。
家庭料理というと、いろんなメリットがあります。栄養から見ると、人の健康にいいと思います。家庭料理は伝統的な形式ですから、食事の他にもたくさんの機能があります。例えば、主婦は自分の愛をこめて、料理を作って、家族一家で食事をして、これが家族の楽しみではないでしょうか？これは家族の団結力を養う方法の一種です。でも家庭料理を作るには、いろんな手間が必要ですから、時間がたくさんかかります。現代社会では、時間を省くのが必要ですから、家庭料理はそんなに流行っていません。
私たちは実際を踏まえて、自分の食事計画を作ったらいいと思います。ファストフードと家庭料理のメリッ",81.0,advanced,21.0,299.0,14.238095238095235,0.391304347826087,27.0,617.0,22.0,21.0,103.0,64.0,2.611,2.114,3.442,3.379,2.488,2.391
3,3,3,CCH16,CHN,中国語,"普段、私たちは通勤や通学のため、外食する数は少なくないが、家で、きちんとした手作り料理を食べるチャンスも少なくない。
外食といえば、すぐ思い出すのはマクドナルドとか、ラーメンとか、ほんの短い時間で出来上がるファーストフードなどである。早く出来上がるから、時間の節約ができる、サラリーマンや学生に対しては、すごく魅力がある。特に、味にも、そんなにまずくもない、好きな食べ物を自分で選べるから、結構人気があるということである。
一方、それに対して、家庭料理はどうでしょう。材料を買うから料理をでき上がるまで、すごく時間がかかるし、市場いるとき、今日何にしようかだけを考えて、頭が痛くなる。そして、家庭料理は、材料の種類が決まって、出来た料理の決まったから、好き嫌いがあっても、食べるしかないということである。
しかし、ファーストフードと家庭料理の各自には、それぞれ短所と長所がある。ファーストフードは速くて種類も多いが、だいたいフライドしたものに限っていて、栄養はあまり取られない、体にはよくない。一方、家庭料理は、具材も料理法もきちんとして、よく考えてから、作られたものが多いから、体によい、特に成長している子供たちは欠かせないだと思っている。
両方とも良い方もあるし、悪い方もあるが、私にとっては、家で、ちゃんと時間を取って、きちんとした料理を食べるほうがいいと思っている。そして、そういうふうに皆さんにおすすめしたいんだ。","普段、私たちは通勤や通学のため、外食する数は少なくないが、家で、きちんとした手作り料理を食べるチャンスも少なくない。
外食といえば、すぐ思い出すのはマクドナルドとか、ラーメンとか、ほんの短い時間で出来上がるファーストフードなどである。早く出来上がるから、時間の節約ができる、サラリーマンや学生に対しては、すごく魅力がある。特に、味にも、そんなにまずくもない、好きな食べ物を自分で選べるから、結構人気があるということである。
一方、それに対して、家庭料理はどうでしょう。材料を買うから料理をでき上がるまで、すごく時間がかかるし、市場いるとき、今日何にしようかだけを考えて、頭が痛くなる。そして、家庭料理は、材料の種類が決まって、出来た料理の決まったから、好き嫌いがあっても、食べるしかないということである。
しかし、ファーストフードと家庭料理の各自には、それぞれ短所と長所がある。ファーストフードは速くて種類も多いが、だいたいフライドしたものに限っていて、栄養はあまり取られない、体にはよくない。一方、家庭料理は、具材も料理法もきちんとして、よく考えてから、作られたものが多いから、体によい、特に成長している子供たちは欠かせないだと思っている。
両方とも良い方もあるし、悪い方もあるが、私にとっては、家で、ちゃんと時間を取って、きちんとした料理を食べるほうがいいと思っている。そして、そういうふうに皆さ",81.0,advanced,12.0,296.0,24.666666666666668,0.4560810810810811,23.0,612.0,34.0,21.0,140.0,53.0,2.583,2.157,3.602,3.505,2.525,2.452
4,4,4,CCH23,CHN,中国語,"現代社会、マクドナルドをはじめ、ファーストフードを売る店がたくさんあります。食事の時間、店の中はとても混んでいます。ファーストフードが私たちの日常生活に溶け込んできました。
どうしてこれほど人気がありますか。経済発展につれて、女性も社会に出て、仕事に就きます。競争が激しい社会で、毎日忙しくて、働いています。以前のように家でゆっくりご飯を用意することはできなくなります。ファーストフードは早くて、手軽で、後片付けもいらないんです。そして、安価で、所得の低い家族はよく購入します。しかし、カロリーが高くて、栄養バランスもよくないんです。食べすぎると、塩分、糖分、脂肪など過剰摂取の傾向があります。要するに体には毒です。
ファーストフードと違って、家族料理は健康的、自分の意思によって何でも作られます。栄養バランスも良いです。でも、おいしくなりたければ、手間がかかるんです。
しかし、深く考えれば、ファーストフードと家族料理それぞれメリットとデメリットはそんなに簡単ではありません。確かに、みんな生活のために、毎日必死に働いています。でも、忙しいからこそ、安さ手軽だけではなく、栄養バランスのとれた食事が大事です。仕事が終わったら、家庭に帰って、ご飯のおいしい匂いがします。本当に気分がいいです。そして、明るい雰囲気に包まれて、一家団欒に楽しく食事をしたり、一日の発生したことについて話したり、家庭の温かさを感じます。精神面の安心感もあります。この楽しいことのおかげで、日々の辛いことを乗り換えます。どんなに遠いところにいても、家の独特な味が思い出したら、前に向く勇気があります。家の絆も家族と一緒にご飯を賞味しながら、強くなります。ファーストフードなら、どこでも食べられて、どこでも味が大体同じです。家の味はなくて、心を支えることは見つけないんです。
人々は幸せになりたいので、働いて、努力するのではないでしょうか。体はなによりも大切です。ですから、自分の生活の質を高めるために、ちょっと時間をかけて、自分で料理を作って、家族と一緒に楽しむことといいんじゃないか。子供をはじめ家庭においしい栄養のあるものを食べさせることができて、みんな健康になることは本当に良いことです。","現代社会、マクドナルドをはじめ、ファーストフードを売る店がたくさんあります。食事の時間、店の中はとても混んでいます。ファーストフードが私たちの日常生活に溶け込んできました。
どうしてこれほど人気がありますか。経済発展につれて、女性も社会に出て、仕事に就きます。競争が激しい社会で、毎日忙しくて、働いています。以前のように家でゆっくりご飯を用意することはできなくなります。ファーストフードは早くて、手軽で、後片付けもいらないんです。そして、安価で、所得の低い家族はよく購入します。しかし、カロリーが高くて、栄養バランスもよくないんです。食べすぎると、塩分、糖分、脂肪など過剰摂取の傾向があります。要するに体には毒です。
ファーストフードと違って、家族料理は健康的、自分の意思によって何でも作られます。栄養バランスも良いです。でも、おいしくなりたければ、手間がかかるんです。
しかし、深く考えれば、ファーストフードと家族料理それぞれメリットとデメリットはそんなに簡単ではありません。確かに、みんな生活のために、毎日必死に働いています。でも、忙しいからこそ、安さ手軽だけではなく、栄養バランスのとれた食事が大事です。仕事が終わったら、家庭に帰って、ご飯のおいしい匂いがします。本当に気分がいいです。そして、明るい雰囲気に包まれて、一家団欒に楽しく食事をしたり、一日の発生したことについて話したり、家庭の温か",81.0,advanced,31.0,464.0,14.96774193548387,0.4224137931034483,36.0,935.0,30.0,37.0,171.0,82.0,2.528,1.961,3.419,3.324,2.385,2.282
5,5,5,CCH25,CHN,中国語,"私は大学に来て日本語に勉強して一年になりました、湖南省の伝統的な料理はどんなに美味しくても、辛くてここの料理に適応できません。辛い匂いが嫌だから、いつもふるさとに父と母が作る料理を懐かしがっている。家族で一緒に作るの料理が本当に安全で、体にとっても健康的な影響を与えることができます。一番重要的な長所は父と母が私たちに作ってくれる料理にはみなんの注ぐ全部の愛と心血があります。唯一の短所は家庭の料理は作りにくて、両親は忙しそうに作ります。
寮には料理を自分で作ってはいけないルールがあって、勉強や仕事はほとんど忙しくて、ファーストフードを買って来て食べています。経済の発展につれて、ファーストフード店は多くて、とっても買いやすいです。しかし、いつもファーストフードを食べれば、人間の健康面に様々な問題を起こしていると考える専門家があり、ファーストフードの量を減ってよかったと思います。
先週は国慶節ので、私は家に帰って、美味しい母の料理を多く食べました。国慶節に家に帰ってよかった、どんなに忙しくても、料理に注意しないと体に良くないと言ってくれました。感動しました。私は将来両親に料理を作ってあげます。","私は大学に来て日本語に勉強して一年になりました、湖南省の伝統的な料理はどんなに美味しくても、辛くてここの料理に適応できません。辛い匂いが嫌だから、いつもふるさとに父と母が作る料理を懐かしがっている。家族で一緒に作るの料理が本当に安全で、体にとっても健康的な影響を与えることができます。一番重要的な長所は父と母が私たちに作ってくれる料理にはみなんの注ぐ全部の愛と心血があります。唯一の短所は家庭の料理は作りにくて、両親は忙しそうに作ります。
寮には料理を自分で作ってはいけないルールがあって、勉強や仕事はほとんど忙しくて、ファーストフードを買って来て食べています。経済の発展につれて、ファーストフード店は多くて、とっても買いやすいです。しかし、いつもファーストフードを食べれば、人間の健康面に様々な問題を起こしていると考える専門家があり、ファーストフードの量を減ってよかったと思います。
先週は国慶節ので、私は家に帰って、美味しい母の料理を多く食べました。国慶節に家に帰ってよかった、どんなに忙しくても、料理に注意しないと体に良くないと言ってくれました。感動しました。私は将来両親に料理を作ってあげます。",64.0,intermediate,12.0,283.0,23.58333333333333,0.4169611307420495,21.0,501.0,18.0,14.0,112.0,54.0,2.98,2.463,3.763,3.653,2.897,2.782
6,6,6,CCH31,CHN,中国語,"私たちはきっとファートフードを食べたことがあるべきです。そして、私たちは家にいるとき、母か父か作った料理を食べたら、どうな感じがありますか？そして、ファートフードと家庭料理の区別を話させてください。
ファートフードはだいたいファートフード店で買って、に行く途中か会社に行く途中かで食べる物。ファートフードは作る時間が短いから、時間を節約することができます。それはとても便利だし、学校か会社に遅れません。私たちは平日勉強や仕事などだから、毎日の朝、遅れないように早くおきなけねばならないです。家で料理を作ることは無理です。そして、毎日家に帰る後、みんなはたいてい疲れましたでしょう。そのときは、晩食を早速食べたいと、ファートフードを選ぶのはいい選択ですね。でもファートフードは悪いこともあります。ファートフードはカロリーが高いから、長時間食べると、太くなるかもしれません。そして、健康に影響があります。
家庭料理は時間と精力、をかかること。平日、私たちは料理を作る時間がないと思います。でも、週末、自分が作る料理を食べることは幸せですとお思います。それから、私たちは自分の好きな食べものを自由に作ったり、食べたりします。いいですね。
すなわち、私は家庭料理がもっと好きで、皆さんはどうですか？","私たちはきっとファートフードを食べたことがあるべきです。そして、私たちは家にいるとき、母か父か作った料理を食べたら、どうな感じがありますか？そして、ファートフードと家庭料理の区別を話させてください。
ファートフードはだいたいファートフード店で買って、に行く途中か会社に行く途中かで食べる物。ファートフードは作る時間が短いから、時間を節約することができます。それはとても便利だし、学校か会社に遅れません。私たちは平日勉強や仕事などだから、毎日の朝、遅れないように早くおきなけねばならないです。家で料理を作ることは無理です。そして、毎日家に帰る後、みんなはたいてい疲れましたでしょう。そのときは、晩食を早速食べたいと、ファートフードを選ぶのはいい選択ですね。でもファートフードは悪いこともあります。ファートフードはカロリーが高いから、長時間食べると、太くなるかもしれません。そして、健康に影響があります。
家庭料理は時間と精力、をかかること。平日、私たちは料理を作る時間がないと思います。でも、週末、自分が作る料理を食べることは幸せですとお思います。それから、私たちは自分の好きな食べものを自由に作ったり、食べたりします。いいですね。
すなわち、私は家庭料理がもっと好きで、皆さんはどうですか？",75.0,intermediate,19.0,267.0,14.052631578947368,0.4194756554307116,21.0,545.0,18.0,6.0,120.0,43.0,2.793,2.379,3.542,3.444,2.706,2.677
7,7,7,CCH33,CHN,中国語,「食糧は人々の生活で何よりも大切だ」ということがよく言われる。確か、飲食は日常生活の一部として、私たちに深い関係がある。私たちは日常生活の中で常に家で手作り料理を味わったり、ファーストフードを食べたりする。ファーストフードと家庭料理は主に食文化の二つとして、それぞれメリットとデメリットがあるが、各自の特色による人の異なる需要にふさわしくて、飲食生活で重要な位置を占めている。ファーストフードは名前どおり、第一のよさがそれの便利さである。それに加えて、値段が安いし、忙しい従業員にとって、ちょうどいいと思う。しかし、安いファーストフードなので、栄養もないし、衛生もよくないし、長時間で食べると体を壊すかもしれない。そして、せっかく一家だんらんで食事ができるが、外でファーストフードを食べれば、人々はどんどん食事や家庭関係への興味を失い、感情が冷たくなっていくかもしれない。それに反して、家族が作って、愛を込めて家庭料理が栄養もいっぱいあるし、家族の絆を強めることもできる。それにして、長い時間がかかるのは当然である。現代の生活で、いろいろな理由で、家庭料理よりファーストフードが好きな人がたくさんいる。飲食スタイルを一つ選ぶといったよりそれが現れる生活スタイルをしているというのはもっと正しいかもしれない。ある意味において、ファーストフードは目下の速成効果のみを求める生活スタイルを表すが、家庭料理は生活の内容の深みを重視する生活スタイルを表す。ファーストフードに慣れるか。ファーストフードに嫌いになったことがあるか。ちょっと自分のペースを遅くして、家庭料理を食べてみようではないか。,「食糧は人々の生活で何よりも大切だ」ということがよく言われる。確か、飲食は日常生活の一部として、私たちに深い関係がある。私たちは日常生活の中で常に家で手作り料理を味わったり、ファーストフードを食べたりする。ファーストフードと家庭料理は主に食文化の二つとして、それぞれメリットとデメリットがあるが、各自の特色による人の異なる需要にふさわしくて、飲食生活で重要な位置を占めている。ファーストフードは名前どおり、第一のよさがそれの便利さである。それに加えて、値段が安いし、忙しい従業員にとって、ちょうどいいと思う。しかし、安いファーストフードなので、栄養もないし、衛生もよくないし、長時間で食べると体を壊すかもしれない。そして、せっかく一家だんらんで食事ができるが、外でファーストフードを食べれば、人々はどんどん食事や家庭関係への興味を失い、感情が冷たくなっていくかもしれない。それに反して、家族が作って、愛を込めて家庭料理が栄養もいっぱいあるし、家族の絆を強めることもできる。それにして、長い時間がかかるのは当然である。現代の生活で、いろいろな理由で、家庭料理よりファーストフードが好きな人がたくさんいる。飲食スタイルを一つ選ぶといったよりそれが現れる生活スタイルをしているというのはもっと正しいかもしれない。ある意味において、ファーストフードは目下の速成効果のみを求める生活スタイルを表すが、家庭料理は,77.0,intermediate,16.0,343.0,21.4375,0.4431486880466472,29.0,692.0,31.0,33.0,153.0,66.0,2.652,2.299,3.708,3.666,2.743,2.641
8,8,8,CCH35,CHN,中国語,"最近、「スローフード」という言葉が流行ってきた。ファーストフードに対して、「スローフード」とは、ゆっくり食べる食文化のことであるとともに、その名のとおりゆっくりと仕込む料理のことであることだ。今、ファーストフードは食文化崩壊させて、高動物性脂肪、低繊維食を、若者における食の嗜好に浸透させたばかりでなく、世の母親達による手作り家庭食、特に朝食の感動を失わせた。この言葉から、暖かい食文化の回復が望めるかもしれない。
健康と栄養のほうは、家庭料理はもっと安心だと思う。例えば、再生食用油は商用目で食卓に戻って再利用されることは中で大きな社会？？となっている。健康障害だけど、コストを下げられて、とても絶やせない。ましてや栄養摂取はありえないだろう。その一方で、家では、私は好き嫌いがあるから、母はいつもの強引に食べさせたことがよくあった。塩分や栄養分や、食事療法までいろいろの考えを含めて、世の母親が仕込んで毎日料理を作っているんじゃない？
便利さと値段の方は、ファーストフードは間違いなく優位に立ち。巷には飲食店が溢れて、好きなときに好きな物を好きなだけ食べることができるようになった。食べ物がだけでなく、いいサビースが得る。どうりで仕事で忙しいい若者が自炊をやめて、外食が多くなるわけだ。平均して計算すれば、実際、自炊の費用は外食より安いといえば安いに、外食は時間を節約できるから、心理的見ればそんな大きな差がない。
種類と言ったら、確かに、外食は何もあり、タイ料理も、韓国料理も、ハンバーガーやピザでも、しかし、きっと家庭料理ならではのことがあるに違いない。例えば、私は古里ならではの「高湯」という甘いデザートがとても好きで、外では、探そうでも探せなくて、家に帰ったら、もう一度その美味を味わえた。皆さんはきっと、暖かい雰囲気で、家族のそばで、独有の家庭料理が何よりだと思わないか？","最近、「スローフード」という言葉が流行ってきた。ファーストフードに対して、「スローフード」とは、ゆっくり食べる食文化のことであるとともに、その名のとおりゆっくりと仕込む料理のことであることだ。今、ファーストフードは食文化崩壊させて、高動物性脂肪、低繊維食を、若者における食の嗜好に浸透させたばかりでなく、世の母親達による手作り家庭食、特に朝食の感動を失わせた。この言葉から、暖かい食文化の回復が望めるかもしれない。
健康と栄養のほうは、家庭料理はもっと安心だと思う。例えば、再生食用油は商用目で食卓に戻って再利用されることは中で大きな社会？？となっている。健康障害だけど、コストを下げられて、とても絶やせない。ましてや栄養摂取はありえないだろう。その一方で、家では、私は好き嫌いがあるから、母はいつもの強引に食べさせたことがよくあった。塩分や栄養分や、食事療法までいろいろの考えを含めて、世の母親が仕込んで毎日料理を作っているんじゃない？
便利さと値段の方は、ファーストフードは間違いなく優位に立ち。巷には飲食店が溢れて、好きなときに好きな物を好きなだけ食べることができるようになった。食べ物がだけでなく、いいサビースが得る。どうりで仕事で忙しいい若者が自炊をやめて、外食が多くなるわけだ。平均して計算すれば、実際、自炊の費用は外食より安いといえば安いに、外食は時間を節約できるから、心理的見ればそん",78.0,intermediate,20.0,409.0,20.45,0.4816625916870415,33.0,793.0,49.0,40.0,177.0,81.0,3.235,2.755,4.26,4.269,3.16,3.063
9,9,9,CCH38,CHN,中国語,"現在、速いライフスタイルに伴って、ファーストフード文化も急速に発展しています。では、一つの質問が出てきました。ファーストフードと家庭料理、どちらが好きですか。もちろん、答えは人によって違います。次はファーストフードと家庭料理の比較に入りましょう。
まずはファーストフードについて、最近の食品安全に関するニュースによると、ファーストフードには体に悪い影響を与える衛生問題があります。更に、口に合うかどうか、組み合わせが合理かどうか、全然わかりません。しかし、ファーストフードは種類が多くて、便利で、時間を節約できて、サラリーマンにぴったりしています。次は家庭料理に関して、材料を買って作るのは時間がかかります。そして、料理を作る途中で、出たすす汚染は長時間を重ねて、体や部屋に悪い影響が出るかもしれません。でも、家庭料理は口によって、健康な料理を作られます。最も大切な点はこれは肉親の情や友情や愛情などの深さを増進できます。
どうしたらほうがいいか、人達は必ず自分の答えがあります。私個人から見れば、家庭料理が好きです。仕事に専念している時、ファーストフードもいいですが。時間があれば、自分の手で美味しくて健康な料理を作って家族や友達や恋人と一緒に食べる方がいいと思います。こんな急速に進んでいる競争環境に囲まれて、私達は心がリッラクスできるところを見つけるべきだと考えます。そういうところは港湾のような家と思います。私達に求められている飲食生活には愉快や健康が一番大切ではないですか。
総じて言えば、自分の実情に従って、ぴったりな飲食スタイルを選ぶ方がよいと思います。","現在、速いライフスタイルに伴って、ファーストフード文化も急速に発展しています。では、一つの質問が出てきました。ファーストフードと家庭料理、どちらが好きですか。もちろん、答えは人によって違います。次はファーストフードと家庭料理の比較に入りましょう。
まずはファーストフードについて、最近の食品安全に関するニュースによると、ファーストフードには体に悪い影響を与える衛生問題があります。更に、口に合うかどうか、組み合わせが合理かどうか、全然わかりません。しかし、ファーストフードは種類が多くて、便利で、時間を節約できて、サラリーマンにぴったりしています。次は家庭料理に関して、材料を買って作るのは時間がかかります。そして、料理を作る途中で、出たすす汚染は長時間を重ねて、体や部屋に悪い影響が出るかもしれません。でも、家庭料理は口によって、健康な料理を作られます。最も大切な点はこれは肉親の情や友情や愛情などの深さを増進できます。
どうしたらほうがいいか、人達は必ず自分の答えがあります。私個人から見れば、家庭料理が好きです。仕事に専念している時、ファーストフードもいいですが。時間があれば、自分の手で美味しくて健康な料理を作って家族や友達や恋人と一緒に食べる方がいいと思います。こんな急速に進んでいる競争環境に囲まれて、私達は心がリッラクスできるところを見つけるべきだと考えます。そういうところは港湾のよう",73.0,intermediate,20.0,352.0,17.6,0.4460227272727273,30.0,684.0,31.0,30.0,140.0,72.0,2.589,2.156,3.487,3.387,2.544,2.517
